,token,type,ttratio,SimpsonD,BWI,MSL,MWL,LD
a_s,21654,3560,0.1644,0.0071,0.1906,22.23203285,4.521466667,0.5389
b_s,22897,3640,0.159,0.0065,0.2172,18.15860428,4.681866667,0.5947
c_s,15234,2287,0.1501,0.0098,0.2306,19.01872659,4.804866667,0.6211
d_s,51333,4848,0.0944,0.0101,0.1596,16.01653666,4.290885006,0.4825
e_s,51063,6679,0.1308,0.008,0.2229,18.101028,4.729686857,0.5664
f_s,50910,7382,0.145,0.0076,0.1949,19.19683258,4.532508348,0.5513
a_q,4096,1062,0.2593,0.008,0.1992,21.44502618,4.522460938,0.5439
b_q,1250,494,0.3952,0.0085,0.1808,17.85714286,4.5728,0.5784
c_q,1096,351,0.3203,0.0205,0.1369,19.92727273,4.564796905,0.6223
d_q,1840,564,0.3065,0.0108,0.131,15.86206897,4.203804348,0.4924
e_q,2040,730,0.3578,0.0104,0.2044,20.81632653,4.575980392,0.5392
f_q,2068,723,0.3496,0.0096,0.2089,19.14814815,4.564796905,0.5551
